User,PC Name,Windows Version 
ICE\mgiljum,NBK-W10P-486,Windows 10 Pro
 
 
SOFTWARE 
Name,Version
Previous Versions Client,1.0.0
AD Replication Status Tool 1.0,2.6.60913.0
Microsoft Office OneNote MUI (English) 2010,14.0.7015.1000
Microsoft Office Standard 2010,14.0.7015.1000
Microsoft Office Office 32-bit Components 2010,14.0.7015.1000
Microsoft Office Shared 32-bit MUI (English) 2010,14.0.7015.1000
Microsoft Office Shared Setup Metadata MUI (English) 2010,14.0.7015.1000
Microsoft Office Excel MUI (English) 2010,14.0.7015.1000
Microsoft Office PowerPoint MUI (English) 2010,14.0.7015.1000
Microsoft Office Publisher MUI (English) 2010,14.0.7015.1000
Microsoft Office Outlook MUI (English) 2010,14.0.7015.1000
Microsoft Office Word MUI (English) 2010,14.0.7015.1000
Microsoft Office Proofing (English) 2010,14.0.7015.1000
Microsoft Office Shared MUI (English) 2010,14.0.7015.1000
Microsoft Office Proof (English) 2010,14.0.7015.1000
Microsoft Office Proof (Spanish) 2010,14.0.7015.1000
Microsoft Office Proof (French) 2010,14.0.7015.1000
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148,9.0.30729.4148
Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23918,14.0.23918
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,10.0.40219
Microsoft Visual C++ 2005 Redistributable (x64),8.0.61000
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,10.0.40219
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005,12.0.21005
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005,12.0.21005
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40649,12.0.40649
Microsoft Visual Studio 2010 Tools for Office Runtime (x64),10.0.50908
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,9.0.30729.6161
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,9.0.30729.6161
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030,11.0.61030
Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23918,14.0.23918
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030,11.0.61030
Microsoft Visual C++ 2005 Redistributable,8.0.61001
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030,11.0.61030
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148,9.0.30729.4148
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40649,12.0.40649
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030,11.0.61030
Microsoft Visual J# 2.0 Redistributable Package - SE (x64),2.0.50728
